Image	BBox	Label
img_0	[113, 90, 185, 173]	car
img_10668	[147, 139, 182, 196]	motorbike
img_10749	[240, 93, 335, 212]	car
img_10992	[157, 60, 192, 85]	car
img_11397	[3, 123, 127, 298]	car
img_11478	[153, 57, 200, 118]	car
img_1164	[309, 124, 399, 257]	car
img_1164	[223, 70, 258, 105]	car
img_1164	[65, 176, 122, 294]	motorbike
img_11883	[178, 60, 205, 91]	car
img_12288	[126, 113, 165, 184]	motorbike
img_12369	[183, 91, 225, 148]	motorbike
img_1245	[225, 77, 271, 127]	car
img_12693	[118, 82, 180, 151]	car
img_12774	[117, 84, 178, 148]	car
img_12855	[118, 84, 179, 148]	car
img_12855	[236, 78, 286, 137]	car
img_12855	[110, 159, 156, 245]	motorbike
img_12936	[122, 81, 186, 144]	car
img_12936	[179, 60, 201, 82]	car
img_13098	[34, 113, 161, 270]	car
img_13098	[309, 95, 385, 199]	car
img_13179	[308, 95, 385, 199]	car
img_13179	[181, 66, 216, 102]	car
img_1326	[275, 86, 320, 149]	car
img_13584	[309, 95, 385, 199]	car
img_13584	[208, 82, 257, 142]	car
img_13665	[309, 95, 385, 199]	car
img_13746	[309, 96, 386, 199]	car
img_13827	[313, 96, 387, 200]	car
img_13908	[338, 114, 400, 296]	car
img_1407	[177, 70, 214, 105]	car
img_146	[259, 123, 381, 289]	car
img_1784	[124, 94, 200, 170]	car
img_1865	[175, 89, 199, 133]	motorbike
img_1946	[41, 159, 81, 240]	motorbike
img_2594	[260, 112, 356, 229]	car
img_2756	[269, 149, 397, 297]	car
img_2837	[145, 63, 189, 95]	car
img_2837	[243, 99, 267, 151]	motorbike
img_2918	[301, 126, 339, 188]	motorbike
img_308	[17, 141, 154, 284]	car
img_3647	[36, 63, 108, 104]	car
img_3647	[117, 64, 160, 95]	car
img_3728	[44, 64, 113, 105]	car
img_3728	[121, 65, 164, 96]	car
img_3809	[72, 64, 154, 103]	car
img_3890	[223, 81, 318, 169]	car
img_3890	[54, 68, 131, 105]	car
img_3890	[118, 66, 165, 97]	car
img_3971	[183, 62, 228, 97]	car
img_4295	[40, 62, 107, 97]	car
img_4376	[-1, 164, 131, 299]	car
img_4457	[307, 167, 398, 301]	car
img_4457	[194, 63, 218, 87]	car
img_4538	[306, 173, 397, 302]	car
img_4619	[285, 115, 392, 232]	car
img_470	[229, 70, 266, 107]	car
img_470	[177, 75, 194, 99]	motorbike
img_4781	[195, 68, 228, 102]	car
img_4781	[153, 95, 174, 125]	motorbike
img_4862	[107, 137, 174, 203]	motorbike
img_4943	[120, 138, 154, 198]	motorbike
img_5186	[29, 167, 87, 257]	motorbike
img_5186	[160, 138, 207, 211]	motorbike
img_5267	[262, 92, 327, 177]	car
img_5348	[156, 71, 205, 118]	car
img_5429	[179, 67, 206, 100]	car
img_551	[257, 109, 338, 209]	car
img_5591	[256, 98, 283, 136]	motorbike
img_5672	[3, 58, 60, 95]	car
img_5753	[240, 74, 323, 188]	car
img_5834	[347, 146, 386, 211]	motorbike
img_5915	[194, 55, 220, 81]	car
img_6077	[45, 176, 101, 273]	motorbike
img_6158	[236, 86, 255, 117]	motorbike
img_6482	[27, 184, 86, 289]	motorbike
img_6482	[248, 85, 265, 118]	motorbike
img_6563	[63, 111, 158, 209]	car
img_6644	[229, 69, 265, 106]	car
img_6725	[283, 141, 394, 299]	car
img_6806	[45, 174, 99, 274]	motorbike
img_7049	[14, 113, 115, 211]	car
img_713	[225, 69, 258, 101]	car
img_713	[283, 66, 328, 88]	car
img_7292	[64, 65, 129, 106]	car
img_7373	[206, 78, 284, 156]	car
img_7373	[159, 88, 179, 119]	motorbike
img_7454	[262, 123, 398, 300]	car
img_7535	[285, 134, 323, 228]	motorbike
img_7616	[267, 125, 391, 298]	car
img_7940	[181, 67, 209, 96]	car
img_8183	[23, 64, 89, 101]	car
img_8183	[244, 76, 263, 103]	motorbike
img_8264	[99, 71, 169, 111]	car
img_8264	[197, 72, 236, 118]	car
img_8345	[218, 84, 299, 162]	car
img_8345	[89, 64, 161, 104]	car
img_8426	[218, 80, 302, 165]	car
img_8426	[200, 68, 273, 109]	car
img_8507	[292, 90, 372, 164]	car
img_8507	[222, 88, 303, 166]	car
img_8507	[189, 59, 223, 87]	car
img_8750	[174, 105, 333, 214]	car
img_8831	[150, 103, 319, 213]	car
img_8912	[226, 114, 383, 233]	car
img_8912	[162, 66, 206, 113]	car
img_9074	[114, 95, 190, 171]	car
img_9155	[218, 57, 241, 82]	car
img_9236	[2, 110, 149, 281]	car
img_9236	[259, 113, 350, 222]	car
img_9236	[177, 66, 208, 101]	car
img_9560	[149, 120, 183, 185]	motorbike
