Image	BBox	Label
img_0.jpg	[114, 90, 184, 174]	car
img_0.jpg	[126, 134, 146, 146]	plate
img_10668.jpg	[149, 135, 182, 196]	motorbike
img_10749.jpg	[241, 91, 334, 210]	car
img_10749.jpg	[297, 187, 320, 197]	plate
img_1083.jpg	[148, 124, 154, 129]	plate
img_11397.jpg	[1, 115, 127, 299]	car
img_1164.jpg	[312, 122, 399, 256]	car
img_1164.jpg	[223, 69, 257, 105]	car
img_1164.jpg	[65, 182, 122, 292]	motorbike
img_1164.jpg	[74, 263, 86, 280]	plate
img_12288.jpg	[127, 114, 163, 184]	motorbike
img_12369.jpg	[202, 127, 208, 133]	plate
img_1245.jpg	[223, 76, 271, 127]	car
img_1245.jpg	[314, 174, 398, 301]	car
img_12693.jpg	[117, 82, 180, 151]	car
img_12693.jpg	[127, 114, 141, 122]	plate
img_12774.jpg	[116, 83, 179, 148]	car
img_12774.jpg	[127, 114, 142, 123]	plate
img_12855.jpg	[116, 82, 177, 146]	car
img_12855.jpg	[235, 76, 285, 136]	car
img_12855.jpg	[110, 163, 155, 245]	motorbike
img_12855.jpg	[259, 121, 274, 128]	plate
img_12855.jpg	[127, 113, 141, 120]	plate
img_12936.jpg	[120, 80, 187, 144]	car
img_12936.jpg	[133, 111, 146, 121]	plate
img_13098.jpg	[33, 110, 158, 269]	car
img_13098.jpg	[309, 95, 387, 198]	car
img_13098.jpg	[57, 221, 84, 240]	plate
img_13098.jpg	[367, 174, 381, 185]	plate
img_13179.jpg	[309, 95, 387, 198]	car
img_13179.jpg	[180, 66, 216, 101]	car
img_13179.jpg	[238, 72, 253, 101]	motorbike
img_13179.jpg	[366, 173, 381, 186]	plate
img_13584.jpg	[310, 95, 387, 198]	car
img_13584.jpg	[207, 82, 254, 141]	car
img_13584.jpg	[226, 125, 238, 131]	plate
img_13584.jpg	[367, 173, 381, 184]	plate
img_13665.jpg	[310, 95, 386, 197]	car
img_13665.jpg	[367, 174, 381, 185]	plate
img_13746.jpg	[309, 96, 388, 198]	car
img_13746.jpg	[367, 174, 381, 185]	plate
img_13827.jpg	[314, 97, 389, 199]	car
img_13908.jpg	[338, 115, 398, 297]	car
img_1407.jpg	[174, 68, 214, 105]	car
img_14394.jpg	[191, 80, 209, 119]	motorbike
img_146.jpg	[259, 122, 380, 287]	car
img_146.jpg	[344, 261, 369, 276]	plate
img_1784.jpg	[125, 94, 199, 169]	car
img_1784.jpg	[137, 150, 155, 158]	plate
img_1865.jpg	[177, 86, 198, 134]	motorbike
img_1946.jpg	[41, 159, 80, 239]	motorbike
img_2594.jpg	[259, 113, 357, 232]	car
img_2594.jpg	[323, 209, 342, 218]	plate
img_2675.jpg	[140, 139, 148, 145]	plate
img_2756.jpg	[268, 149, 400, 298]	car
img_2756.jpg	[224, 74, 265, 112]	car
img_2837.jpg	[145, 65, 190, 95]	car
img_2837.jpg	[245, 97, 267, 153]	motorbike
img_2918.jpg	[300, 125, 340, 189]	motorbike
img_308.jpg	[17, 139, 151, 288]	car
img_308.jpg	[40, 231, 69, 248]	plate
img_3485.jpg	[90, 68, 146, 98]	car
img_3647.jpg	[36, 65, 107, 104]	car
img_3647.jpg	[118, 66, 164, 95]	car
img_3728.jpg	[44, 64, 113, 105]	car
img_3728.jpg	[118, 66, 165, 96]	car
img_3809.jpg	[60, 64, 131, 105]	car
img_3890.jpg	[224, 84, 318, 167]	car
img_3890.jpg	[53, 69, 130, 105]	car
img_3890.jpg	[295, 148, 311, 157]	plate
img_3971.jpg	[183, 62, 229, 97]	car
img_3971.jpg	[287, 111, 318, 170]	motorbike
img_4295.jpg	[42, 63, 107, 97]	car
img_4376.jpg	[0, 162, 133, 299]	car
img_4457.jpg	[309, 164, 398, 300]	car
img_4457.jpg	[195, 62, 219, 87]	car
img_4538.jpg	[308, 171, 397, 301]	car
img_4619.jpg	[282, 115, 392, 231]	car
img_470.jpg	[229, 69, 266, 106]	car
img_470.jpg	[177, 75, 192, 100]	motorbike
img_4781.jpg	[155, 93, 173, 125]	motorbike
img_4781.jpg	[209, 85, 217, 90]	plate
img_4862.jpg	[108, 135, 174, 202]	motorbike
img_4943.jpg	[123, 134, 153, 198]	motorbike
img_5186.jpg	[27, 163, 87, 256]	motorbike
img_5186.jpg	[159, 137, 208, 211]	motorbike
img_5267.jpg	[262, 92, 327, 177]	car
