Image	BBox	Label
img_0.jpg	[583, 460, 942, 890]	car
img_0.jpg	[653, 697, 967, 699]	plate
img_10587.jpg	[1090, 676, 1143, 708]	plate
img_10668.jpg	[762, 691, 931, 1003]	motorbike
img_10668.jpg	[783, 825, 957, 918]	plate
img_10749.jpg	[1233, 465, 1710, 1075]	car
img_10749.jpg	[1524, 958, 1536, 637]	plate
img_1083.jpg	[761, 640, 797, 667]	plate
img_11397.jpg	[5, 588, 650, 1530]	car
img_11478.jpg	[930, 541, 977, 573]	plate
img_11559.jpg	[1887, 762, 1928, 802]	plate
img_1164.jpg	[1597, 624, 2042, 1310]	car
img_1164.jpg	[1141, 353, 1315, 537]	car
img_1164.jpg	[1225, 481, 1273, 425]	plate
img_1164.jpg	[332, 931, 624, 1495]	motorbike
img_1164.jpg	[379, 1361, 633, 1129]	plate
img_12288.jpg	[650, 583, 834, 942]	motorbike
img_12288.jpg	[671, 792, 850, 765]	plate
img_12369.jpg	[1027, 651, 1071, 686]	plate
img_1245.jpg	[1141, 389, 1387, 650]	car
img_1245.jpg	[1273, 582, 1309, 481]	plate
img_1245.jpg	[1607, 890, 2037, 1541]	car
img_12693.jpg	[599, 419, 921, 773]	car
img_12693.jpg	[655, 593, 942, 635]	plate
img_12774.jpg	[593, 424, 916, 757]	car
img_12774.jpg	[654, 591, 934, 629]	plate
img_12855.jpg	[593, 419, 906, 747]	car
img_12855.jpg	[652, 587, 931, 623]	plate
img_12855.jpg	[1203, 389, 1459, 696]	car
img_12855.jpg	[1339, 627, 1386, 486]	plate
img_12855.jpg	[563, 834, 793, 1254]	motorbike
img_12855.jpg	[566, 1071, 840, 1081]	plate
img_12936.jpg	[614, 409, 957, 737]	car
img_12936.jpg	[677, 577, 966, 605]	plate
img_13098.jpg	[168, 563, 808, 1377]	car
img_13098.jpg	[297, 1135, 820, 903]	plate
img_13098.jpg	[1582, 486, 1981, 1013]	car
img_13098.jpg	[1883, 901, 1749, 641]	plate
img_13179.jpg	[1582, 486, 1981, 1013]	car
img_13179.jpg	[1883, 902, 1749, 640]	plate
img_13179.jpg	[921, 337, 1105, 517]	car
img_13179.jpg	[1005, 437, 1063, 448]	plate
img_13179.jpg	[1218, 368, 1295, 517]	motorbike
img_1326.jpg	[1578, 626, 1617, 651]	plate
img_13584.jpg	[1587, 486, 1981, 1013]	car
img_13584.jpg	[1882, 902, 1757, 639]	plate
img_13584.jpg	[1059, 419, 1300, 721]	car
img_13584.jpg	[1148, 637, 1282, 546]	plate
img_13665.jpg	[1587, 486, 1976, 1008]	car
img_13665.jpg	[1884, 901, 1750, 635]	plate
img_13746.jpg	[1582, 491, 1986, 1013]	car
img_13746.jpg	[1882, 901, 1757, 648]	plate
img_13827.jpg	[1607, 496, 1991, 1018]	car
img_13827.jpg	[1888, 925, 1788, 633]	plate
img_13908.jpg	[1730, 588, 2037, 1520]	car
img_1407.jpg	[890, 348, 1095, 537]	car
img_1407.jpg	[971, 480, 1062, 425]	plate
img_14394.jpg	[977, 409, 1070, 609]	motorbike
img_14394.jpg	[993, 589, 1114, 447]	plate
img_146.jpg	[1326, 624, 1945, 1469]	car
img_146.jpg	[1763, 1336, 1639, 841]	plate
img_1784.jpg	[640, 481, 1018, 865]	car
img_1784.jpg	[699, 763, 1054, 640]	plate
img_1865.jpg	[906, 440, 1013, 686]	motorbike
img_1865.jpg	[932, 611, 1014, 538]	plate
img_1946.jpg	[209, 814, 409, 1223]	motorbike
img_1946.jpg	[218, 1111, 260, 1173]	plate
img_227.jpg	[777, 602, 813, 622]	plate
img_2594.jpg	[1326, 578, 1827, 1187]	car
img_2594.jpg	[1653, 1076, 1601, 739]	plate
img_2675.jpg	[716, 712, 770, 747]	plate
img_2756.jpg	[1372, 762, 2048, 1525]	car
img_2756.jpg	[1146, 378, 1356, 573]	car
img_2756.jpg	[1177, 516, 1368, 460]	plate
img_2837.jpg	[742, 332, 972, 486]	car
img_2837.jpg	[1254, 496, 1367, 783]	motorbike
img_2837.jpg	[1307, 592, 1349, 709]	plate
img_2918.jpg	[1536, 640, 1740, 967]	motorbike
img_2918.jpg	[1682, 797, 1636, 834]	plate
img_308.jpg	[87, 711, 773, 1474]	car
img_308.jpg	[208, 1191, 792, 1074]	plate
img_3485.jpg	[460, 348, 747, 501]	car
img_3647.jpg	[184, 332, 547, 532]	car
img_3647.jpg	[604, 337, 839, 486]	car
img_3647.jpg	[831, 611, 863, 649]	plate
img_3728.jpg	[225, 327, 578, 537]	car
