Image	BBox	Label
img_100199.jpg	[762, 389, 1044, 696]	car
img_100199.jpg	[822, 619, 1065, 519]	plate
img_100199.jpg	[10, 1121, 281, 1536]	motorbike
img_100400.jpg	[563, 665, 773, 1064]	motorbike
img_100400.jpg	[585, 948, 794, 821]	plate
img_100400.jpg	[1500, 517, 1643, 778]	motorbike
img_100400.jpg	[1592, 641, 1592, 671]	plate
img_100603.jpg	[1249, 435, 1541, 757]	car
img_100603.jpg	[1425, 677, 1432, 545]	plate
img_100806.jpg	[1310, 435, 1694, 855]	car
img_100806.jpg	[1564, 766, 1513, 559]	plate
img_101008.jpg	[209, 814, 486, 1295]	motorbike
img_101008.jpg	[236, 1147, 496, 1022]	plate
img_101210.jpg	[1684, 798, 2032, 1520]	car
img_101616.jpg	[0, 737, 793, 1541]	car
img_101616.jpg	[90, 1423, 843, 950]	plate
img_101819.jpg	[834, 348, 1064, 609]	car
img_101819.jpg	[887, 510, 1085, 470]	plate
img_101819.jpg	[880, 581, 1121, 402]	plate
img_102020.jpg	[798, 368, 1034, 665]	car
img_102020.jpg	[861, 516, 1034, 545]	plate
img_102223.jpg	[849, 327, 1075, 588]	car
img_102223.jpg	[914, 511, 1063, 428]	plate
img_102426.jpg	[1646, 731, 1695, 757]	plate
img_102629.jpg	[558, 348, 839, 501]	car
img_102831.jpg	[911, 337, 1121, 547]	car
img_102831.jpg	[967, 493, 1133, 428]	plate
img_103033.jpg	[890, 307, 1064, 501]	car
img_103033.jpg	[937, 438, 1058, 388]	plate
img_103236.jpg	[348, 814, 583, 1228]	motorbike
img_103236.jpg	[376, 1118, 600, 966]	plate
img_103641.jpg	[660, 368, 947, 609]	car
img_103641.jpg	[842, 500, 817, 504]	plate
img_103844.jpg	[476, 471, 921, 875]	car
img_103844.jpg	[557, 694, 940, 696]	plate
img_104046.jpg	[512, 522, 1029, 972]	car
img_104046.jpg	[577, 775, 1066, 771]	plate
img_104451.jpg	[527, 675, 680, 1049]	motorbike
img_104451.jpg	[560, 1009, 754, 755]	plate
img_104654.jpg	[634, 327, 880, 486]	car
img_104857.jpg	[1612, 634, 2042, 1536]	car
img_105261.jpg	[901, 445, 1003, 629]	motorbike
img_105261.jpg	[922, 558, 1007, 532]	plate
img_105464.jpg	[839, 353, 1034, 542]	car
img_105464.jpg	[886, 449, 1046, 475]	plate
img_106274.jpg	[1520, 558, 2042, 1310]	car
img_106274.jpg	[2001, 1188, 2032, 1258]	plate
img_107084.jpg	[875, 312, 1100, 552]	car
img_107084.jpg	[937, 442, 1088, 446]	plate
img_107084.jpg	[1884, 814, 2037, 1218]	motorbike
img_107692.jpg	[281, 911, 593, 1397]	motorbike
img_108097.jpg	[1469, 537, 2037, 1315]	car
img_108097.jpg	[1952, 1178, 1630, 717]	plate
img_108501.jpg	[1628, 645, 1843, 993]	motorbike
img_108704.jpg	[1408, 491, 2048, 1402]	car
img_108704.jpg	[1929, 1203, 1626, 759]	plate
img_108907.jpg	[911, 455, 1018, 634]	motorbike
img_108907.jpg	[924, 572, 1031, 548]	plate
img_109311.jpg	[911, 465, 1049, 757]	motorbike
img_109311.jpg	[923, 659, 1071, 590]	plate
img_109717.jpg	[1162, 312, 1382, 593]	car
img_109717.jpg	[1280, 512, 1317, 421]	plate
img_110120.jpg	[732, 419, 1054, 727]	car
img_110120.jpg	[804, 575, 1058, 604]	plate
img_110323.jpg	[1218, 394, 1295, 542]	motorbike
img_110323.jpg	[1255, 457, 1277, 491]	plate
